YYYY/MM/DD,USD/XAU,AUD/XAU,BRL/XAU,GBP/XAU,CAD/XAU,CLP/XAU,CNY/XAU,DKK/XAU,EGP/XAU,EUR/XAU,HKD/XAU,HUF/XAU,ISK/XAU,INR/XAU,IDR/XAU,ILS/XAU,JPY/XAU,KWD/XAU,MYR/XAU,MXN/XAU,NZD/XAU,NOK/XAU,PHP/XAU,PLN/XAU,RUB/XAU,SAR/XAU,SGD/XAU,ZAR/XAU,KRW/XAU,LKR/XAU,SEK/XAU,CHF/XAU,TWD/XAU,THB/XAU,TRY/XAU,AED/XAU
2/18/16,8.26E-05,0.002519598,0.007180944,-0.000933932,0.002786756,0.003811791,-0.001495159,0.003768801,-0.001130846,0.004427585,-0.000829265,0.003815368,0.005606193,0.003273868,-0.007077147,0.003930498,-0.003860553,-0.001420285,-0.01154512,-0.006098809,0.000281442,0.003418625,0.000355891,0.000462279,0.017296276,0.003072189,-0.000628905,0.015863693,0.008178824,0.000290851,-0.004030504,0.00147274,0.000353181,-0.000591247,0.004958454,0.003081066
2/19/16,0.017436575,0.02085543,0.024277763,0.016707512,0.023368718,0.012483784,0.018045324,0.014411192,0.018035083,0.014310585,0.016573388,0.008341926,0.013855806,0.017778017,0.023336074,0.017280591,0.006696569,0.020669342,0.027744307,0.023372415,0.019189033,0.013202431,0.018077911,0.011156421,0.031401261,0.015703801,0.018378311,0.005929655,0.016941392,0.017154209,0.013967087,0.0128007,0.018445482,0.022038809,0.012843028,0.015473533
2/22/16,-0.016406758,-0.031685604,-0.0431712,-0.003527663,-0.024674044,-0.027141112,-0.016301193,-0.006814303,-0.015652507,-0.006699957,-0.016507992,-0.011545214,-0.009014203,-0.016851504,-0.024621542,-0.017437356,-0.010985102,-0.03162271,-0.018978182,-0.029808384,-0.032083364,-0.012411165,-0.017232907,-0.009746986,-0.043969174,-0.01438792,-0.020674732,0.007712648,-0.022872514,-0.01674807,-0.009512603,-0.007153923,-0.020422388,-0.017039488,-0.021300422,-0.014103637
2/23/16,0.008587944,0.012676025,0.019385541,0.016997603,0.016473871,0.014932548,0.009252821,0.008990104,0.0072355,0.008787957,0.008393286,0.011122539,0.007908923,0.009397428,0.006558289,0.008974979,0.000740398,0.023650161,0.009645416,0.018603324,0.018009565,0.008869361,0.010156477,0.012948495,0.019272536,0.006334236,0.014928998,0.031822227,0.013696387,0.008798008,0.0064653,0.001773024,0.011810464,0.008305671,0.007798886,0.006286608
2/24/16,0.024070738,0.028795402,0.025101354,0.031949422,0.022140211,0.020597616,0.024572795,0.02364745,0.024646949,0.023484169,0.024110275,0.033202112,0.024054879,0.023159896,0.022158732,0.025930114,0.016405265,0.029264384,0.028092916,0.025533295,0.028298209,0.031795397,0.024264134,0.023039527,0.030091436,0.044438574,0.022689315,0.037302788,0.028565563,0.02364425,0.024034541,0.017816273,0.025363058,0.022952663,0.025639474,0.044563306
2/25/16,-0.011832427,-0.016157788,-0.023853568,-0.011956332,-0.025543019,-0.014112266,-0.011484396,-0.012430759,-0.011630356,-0.012257174,-0.011819711,-0.010324256,-0.013515886,-0.006756175,-0.006213218,-0.014329647,-0.000476219,-0.011012317,-0.011293533,-0.016981674,-0.021595505,-0.013120529,-0.012889712,-0.015044725,-0.020644508,-0.030767096,-0.014502011,-0.071003772,-0.010392999,-0.009773888,-0.008432621,-0.008495682,-0.015539094,-0.012497077,-0.016097995,-0.030822969
2/26/16,-0.007686084,0.00318467,0.013143873,-0.002819089,-0.009732846,-0.005678222,-0.006379748,0.000745475,-0.00804112,0.000957575,-0.007430692,0.002547582,-0.002151719,-0.008233576,-0.009753251,-0.006594122,0.0018266,-0.007850658,-0.009731947,-0.004950327,-0.000110154,-0.004648681,-0.00972844,0.002248595,-0.005853218,-0.009986964,-0.00414918,-0.00258791,-0.003436174,-0.005279391,-0.00285053,-0.000104585,-0.004876436,-0.004235332,0.008573583,-0.010062561
2/29/16,0.006848757,0.003690466,-0.001431456,0.002660534,0.005065013,0.010755324,0.008957485,0.012720455,0.007209122,0.01272582,0.007353936,0.006954711,0.010871927,-0.002029696,0.005047193,0.005072828,-0.000764132,0.004176564,0.005366374,0.000537267,0.013942068,0.008298044,0.004009399,0.008033285,-0.004421543,0.006310824,0.005346851,0.000118837,0.004175277,0.007962373,0.008884149,0.005950019,0.005306412,0.002402887,0.001979199,0.006326888
3/1/16,0.001295651,-0.001640279,-0.006705254,-0.000335532,-0.007293441,-0.00627172,0.000959595,0.002885588,0.001129321,0.003156391,0.000561753,0.003086752,0.002357308,-0.005792622,0.002641781,-0.002678761,0.010432208,-0.000303064,-0.007300694,-0.008123354,-0.001612018,-0.003448025,-0.00206433,9.40E-05,-0.019814156,0.003811335,-0.001696055,0.005589372,-0.005490055,-0.000571147,0.008056508,0.004542271,-0.004337051,0.000902149,-0.007287848,0.0037553
3/2/16,0.002183583,-0.010827121,-0.011321361,-0.005643465,0.00674338,-0.003025166,0.001847115,0.002620874,0.002362896,0.002466228,0.002673642,0.006955551,0.001868218,-0.002831329,-0.003198473,0.002363947,0.001655701,0.007826395,0.001149859,-0.001007372,-0.001265818,0.008042477,0.000761715,0.00198289,0.002347198,0.001862952,0.001110964,0.008832768,-0.000584206,0.002530239,0.002218409,0.001070491,0.003032505,0.000607557,0.001228342,0.001938003
